sn01ah    0.058 0.001 17.582 0.139  1.098 0.023  0.029 0.011 37.092 0.153 
sn01az    0.041 0.001 16.983 0.140  0.934 0.055  0.004 0.015 36.355 0.175 
sn01bf    0.015 0.001 14.730 0.138  1.031 0.006  0.067 0.004 34.059 0.229 
sn01cp    0.022 0.001 15.425 0.139  1.141 0.000 -0.148 0.012 35.447 0.190 
sn01da    0.016 0.001 15.346 0.138  0.908 0.001  0.098 0.011 34.443 0.224 
sn01eh    0.036 0.001 16.568 0.138  1.188 0.010  0.033 0.005 36.180 0.160 
sn02bf    0.025 0.001 16.584 0.138  0.731 0.005  0.272 0.008 35.010 0.180 
sn02ck    0.030 0.001 16.305 0.140  0.974 0.006  0.029 0.007 35.661 0.170 
sn02de    0.028 0.001 16.651 0.138  1.015 0.023  0.177 0.007 35.675 0.174 
sn02do    0.015 0.001 15.576 0.139  0.615 0.006  0.096 0.007 34.315 0.230 
sn02G     0.035 0.001 17.520 0.144  0.801 0.032  0.255 0.022 36.077 0.180 
sn02hd    0.036 0.001 16.586 0.142  0.860 0.019  0.047 0.011 35.757 0.167 
sn02he    0.025 0.001 16.230 0.139  0.778 0.008  0.042 0.007 35.311 0.181 
sn02hu    0.038 0.001 16.607 0.138  1.009 0.007 -0.026 0.004 36.150 0.158 
sn02hw    0.016 0.001 16.626 0.139  0.748 0.009  0.459 0.008 34.590 0.221 
sn02jy    0.020 0.001 15.743 0.138  1.080 0.009  0.053 0.005 35.169 0.197 
sn02kf    0.019 0.001 15.659 0.138  0.868 0.005  0.019 0.005 34.912 0.200 
sn03U     0.028 0.001 16.481 0.138  0.762 0.008  0.072 0.007 35.463 0.173 
sn03W     0.021 0.001 15.865 0.138  0.932 0.001  0.189 0.004 34.757 0.192 
sn03ch    0.030 0.001 16.656 0.138  0.807 0.010  0.022 0.006 35.826 0.169 
sn03cq    0.034 0.001 17.208 0.140  0.898 0.011  0.202 0.016 36.024 0.169 
sn03fa    0.039 0.001 16.643 0.138  1.067 0.006 -0.008 0.004 36.212 0.157 
sn03ic    0.054 0.001 17.640 0.139  0.738 0.023  0.036 0.015 36.685 0.157 
sn03it    0.024 0.001 16.351 0.139  0.817 0.013  0.089 0.012 35.358 0.185 
sn03iv    0.034 0.001 16.951 0.138  0.715 0.016 -0.016 0.009 36.104 0.165 
sn04as    0.032 0.001 16.977 0.138  0.970 0.011  0.148 0.008 36.021 0.166 
sn04bg    0.022 0.001 15.618 0.141  1.038 0.011  0.015 0.012 35.091 0.193 
sn04L     0.033 0.001 17.307 0.142  0.890 0.018  0.216 0.016 36.074 0.172 
sn05eq    0.028 0.001 16.268 0.138  1.119 0.005  0.059 0.004 35.726 0.171 
sn05eu    0.034 0.001 16.281 0.138  1.008 0.018 -0.129 0.004 36.088 0.163 
sn05hc    0.045 0.001 17.373 0.138  0.977 0.007  0.068 0.005 36.634 0.153 
sn05hj    0.057 0.001 17.654 0.143  1.156 0.043  0.028 0.010 37.240 0.162 
